target,positive_within_horizon,all_events,auroc,error_type,count,consensus_norm_mean,alignment_mean,alignment_mean_p05,jackknife_instability_mean,jackknife_instability_p95,split_score_mean,split_score_p95,outlier_score_mean,outlier_score_p95,unstable_window_fraction
mi,57,98,0.7860877102689817,TN,1896,0.7967897370646272,0.6257308334709472,0.5714595977547048,0.07910739789610796,0.09210724070008039,0.22206997376265405,0.29532859578948734,0.10435984995538358,0.17406226842338024,0.13897452830575094
mi,57,98,0.7860877102689817,TP,10,0.7983237326145172,0.6284272968769073,0.5742155909538269,0.07843354567885394,0.09126447439193719,0.21399525105953213,0.2988544061779976,0.0910765185952186,0.14869294539093966,0.11874109629527492
mi,57,98,0.7860877102689817,FP,47,0.7972395851256999,0.6266553718993004,0.5737762660422223,0.07874404084175188,0.09139686379026855,0.2313993753904992,0.30899548372055624,0.10230283201374903,0.1776055037341219,0.14730929399855794
mi,57,98,0.7860877102689817,FN,47,0.7957568980277853,0.6236667924738944,0.56874447617125,0.07950920294573963,0.09268777611407825,0.22807592708379665,0.30231474149734416,0.10310934262072782,0.16811075933436126,0.15796189675340538
stroke,60,85,0.7971305841924399,TN,1892,0.7967856161879182,0.6257230437362673,0.5713448472651821,0.07911162321745212,0.09214030704352742,0.22188358529063285,0.29524026578784496,0.10450632665621362,0.17426344117122144,0.13956393533657852
stroke,60,85,0.7971305841924399,TP,12,0.7916408578554789,0.615751177072525,0.566227783759435,0.08123684488236901,0.09343605612715083,0.24310626213749245,0.32247434308131534,0.1000646806011597,0.17199733604987463,0.2116800199817217
stroke,60,85,0.7971305841924399,FP,48,0.7943749390542507,0.6210624054074287,0.5688986318806807,0.08009159378707405,0.09252639999613162,0.22909651541461548,0.30444761334608,0.0984432334080338,0.16843887806559596,0.137384382797662
stroke,60,85,0.7971305841924399,FN,48,0.8004029231766859,0.6326472212870916,0.580035611987114,0.07732155329237377,0.08974979973087704,0.23046480678021908,0.3038621215770642,0.09957065635050333,0.164628955690811,0.12169346510674646
chf,113,203,0.8411769395631967,TN,1812,0.7970247394333349,0.6261762856417408,0.5719953573105351,0.0790057950601738,0.09198069604109584,0.22155318635353452,0.2944921784464755,0.10418423236230545,0.17373585861348947,0.13511754385512215
chf,113,203,0.8411769395631967,TP,38,0.7900506305067163,0.612651610060742,0.55729189593541,0.08207876019571954,0.09550238773226734,0.23262603620165268,0.31741323753407125,0.10127926147297804,0.1714710853993892,0.20753437489722693
chf,113,203,0.8411769395631967,FP,75,0.793187792301178,0.6189105653762818,0.5655732731024424,0.08066201180219645,0.09346022288004553,0.2268347603082657,0.30777217030525206,0.10594279120365774,0.18014773726463318,0.19215869683755862
chf,113,203,0.8411769395631967,FN,75,0.797967696984609,0.6280612238248189,0.5716980421543121,0.0784362653891245,0.09189763347307836,0.23297589212656022,0.3053159882624944,0.1047368345657984,0.17228396534919738,0.1586621949547456
cvd_death,58,123,0.8663216023296282,TN,1895,0.7969607678441071,0.6260606659905578,0.5718472045298302,0.07902971923665822,0.09201031580842577,0.2218665420497942,0.2949039992996759,0.10433684673779554,0.17390319434115,0.13717634430127656
cvd_death,58,123,0.8663216023296282,TP,11,0.7915801297534596,0.615446535023776,0.5606279048052701,0.08148140460252758,0.09470923583615908,0.22216215865178543,0.3148110549558293,0.09482367472215128,0.16566205024719236,0.17964725542590465
cvd_death,58,123,0.8663216023296282,FP,47,0.7884217209004342,0.6096600535068106,0.553902083254875,0.08285761909916042,0.09644555601667847,0.23132191756938367,0.3168715831447155,0.10489641732357914,0.18002098497558147,0.23005828150069943
cvd_death,58,123,0.8663216023296282,FN,47,0.7992245986106548,0.6303442234688617,0.5761121422686475,0.07782857072480177,0.09075872346441792,0.23461597714018315,0.30774845912101423,0.10084885755117899,0.16867728991077297,0.13389002350769963
chd_death,38,82,0.8389398572884812,TN,1928,0.7969316086457479,0.6260034271141058,0.5717527994198176,0.0790402855592706,0.09203165526119254,0.22209937209302089,0.2952550849123738,0.10425186496714892,0.17385262175544292,0.13773339430209475
chd_death,38,82,0.8389398572884812,TP,4,0.8017743825912476,0.6349611282348633,0.5755747705698013,0.07677440345287317,0.0903759598731994,0.21328113228082657,0.30093273147940636,0.08947553671896452,0.15144339203834528,0.10190428449513793
chd_death,38,82,0.8389398572884812,FP,34,0.7869191888500663,0.6067598444574019,0.5512147186433568,0.0835833227371468,0.09711164959213309,0.22820871148039312,0.3150389702881084,0.10498260465614931,0.1800997333929819,0.22813347926925365
chd_death,38,82,0.8389398572884812,FN,34,0.7976741790771484,0.6273761251393486,0.5748538629097097,0.07856656413744474,0.09116529169328068,0.23412211370818756,0.308714195209391,0.10313254550975906,0.17178339708377327,0.15637420436543947
angina,119,728,0.7573657852295623,TN,1784,0.7975869906122375,0.6272607454904794,0.5733081971716988,0.07873404191414334,0.09164233210041381,0.2223629417950329,0.29496018736385177,0.10390523258772062,0.1728295249689053,0.13125945677451678
angina,119,728,0.7573657852295623,TP,22,0.7836277755824003,0.6003915721719916,0.545788206837394,0.0852462185377424,0.09880104728720401,0.21932744099335236,0.3089544779875062,0.1071455803784457,0.17539620941335501,0.24377338993461972
angina,119,728,0.7573657852295623,FP,97,0.7863537749064338,0.6058156471891502,0.5493944539237268,0.08396393022279146,0.09763313929751972,0.21700544716771117,0.30216838388713363,0.11223784688207289,0.19494121836632797,0.2406239642007568
angina,119,728,0.7573657852295623,FN,97,0.7954236600816864,0.6229811611863756,0.5654391938263608,0.079674386716995,0.0934638470872161,0.22896640970534884,0.3025447036494914,0.10123921708040627,0.17177079810002416,0.16660260416727624
